Component Name,Component Version
org_robolectric_robolectric_4_11_1,org.robolectric:robolectric:4.11.1
org_apache_beam_beam_sdks_java_io_google_cloud_platform_2_52_0,org.apache.beam:beam-sdks-java-io-google-cloud-platform:2.52.0
org_apache_beam_beam_sdks_java_extensions_protobuf_2_52_0,org.apache.beam:beam-sdks-java-extensions-protobuf:2.52.0
org_apache_beam_beam_runners_core_construction_java_2_52_0,org.apache.beam:beam-runners-core-construction-java:2.52.0
org_apache_beam_beam_runners_spark_2_45_0,org.apache.beam:beam-runners-spark:2.45.0
org_apache_beam_beam_sdks_java_core_2_52_0,org.apache.beam:beam-sdks-java-core:2.52.0
org_apache_beam_beam_runners_core_java_2_52_0,org.apache.beam:beam-runners-core-java:2.52.0
io_micronaut_micronaut_core_4_2_0,io.micronaut:micronaut-core:4.2.0
org_springframework_boot_spring_boot_starter_web_3_2_1,org.springframework.boot:spring-boot-starter-web:3.2.1
org_apache_tomcat_embed_tomcat_embed_core_11_0_0_M15,org.apache.tomcat.embed:tomcat-embed-core:11.0.0-M15
ai_h2o_h2o_genmodel_3_44_0_3,ai.h2o:h2o-genmodel:3.44.0.3
ai_h2o_h2o_core_3_44_0_3,ai.h2o:h2o-core:3.44.0.3
org_zaproxy_zap_2_14_0,org.zaproxy:zap:2.14.0
com_fasterxml_jackson_core_jackson_databind_2_16_1,com.fasterxml.jackson.core:jackson-databind:2.16.1
com_fasterxml_jackson_core_jackson_core_2_16_1,com.fasterxml.jackson.core:jackson-core:2.16.1
com_google_code_gson_gson_2_10_1,com.google.code.gson:gson:2.10.1
org_clojure_data_json_2_5_0,org.clojure:data.json:2.5.0
io_circe_circe_parser_3_0_15_0_M1,io.circe:circe-parser_3:0.15.0-M1
io_circe_circe_core_3_0_15_0_M1,io.circe:circe-core_3:0.15.0-M1
cheshire_cheshire_5_12_0,cheshire:cheshire:5.12.0
jakarta_xml_bind_jakarta_xml_bind_api_4_0_1,jakarta.xml.bind:jakarta.xml.bind-api:4.0.1
xerces_xercesImpl_2_12_2,xerces:xercesImpl:2.12.2
jakarta_xml_bind_jakarta_xml_bind_api_4_0_1,jakarta.xml.bind:jakarta.xml.bind-api:4.0.1
org_dom4j_dom4j_2_1_4,org.dom4j:dom4j:2.1.4
com_thoughtworks_xstream_xstream_1_4_20,com.thoughtworks.xstream:xstream:1.4.20
com_fasterxml_jackson_dataformat_jackson_dataformat_xml_2_16_1,com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.16.1
com_alibaba_fastjson2_fastjson2_2_0_42,com.alibaba.fastjson2:fastjson2:2.0.42
org_yaml_snakeyaml_2_2,org.yaml:snakeyaml:2.2
com_fasterxml_jackson_dataformat_jackson_dataformat_yaml_2_16_1,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.16.1
org_apache_groovy_groovy_yaml_5_0_0_alpha_4,org.apache.groovy:groovy-yaml:5.0.0-alpha-4
io_circe_circe_yaml_3_1_15_0,io.circe:circe-yaml_3:1.15.0
com_esotericsoftware_yamlbeans_yamlbeans_1_17,com.esotericsoftware.yamlbeans:yamlbeans:1.17
