Component Name,Component Version
com_alibaba_nacos_nacos_client_2_3_0,com.alibaba.nacos:nacos-client:2.3.0
com_alibaba_fastjson_2_0_42,com.alibaba:fastjson:2.0.42
org_apache_flink_flink_java_1_18_0,org.apache.flink:flink-java:1.18.0
org_seleniumhq_selenium_selenium_java_4_15_0,org.seleniumhq.selenium:selenium-java:4.15.0
org_pytorch_torchserve_plugins_sdk_0_0_5,org.pytorch:torchserve-plugins-sdk:0.0.5
com_yahoo_vespa_vespajlib_8_277_17,com.yahoo.vespa:vespajlib:8.277.17
com_yahoo_vespa_annotations_8_277_17,com.yahoo.vespa:annotations:8.277.17
io_vertigo_vertigo_commons_4_1_0,io.vertigo:vertigo-commons:4.1.0
io_acryl_datahub_client_0_12_0_2,io.acryl:datahub-client:0.12.0-2
org_redisson_redisson_3_24_3,org.redisson:redisson:3.24.3
org_springframework_boot_spring_boot_3_2_0,org.springframework.boot:spring-boot:3.2.0
cn_hutool_hutool_all_5_8_23,cn.hutool:hutool-all:5.8.23
org_apache_dubbo_dubbo_3_2_9,org.apache.dubbo:dubbo:3.2.9
org_jenkins_ci_main_jenkins_core_2_432,org.jenkins-ci.main:jenkins-core:2.432
com_google_guava_guava_33_0_0_jre,com.google.guava:guava:33.0.0-jre
org_scala_lang_scala3_library_3_3_4_0_RC1,org.scala-lang:scala3-library_3:3.4.0-RC1
org_mockito_mockito_core_5_8_0,org.mockito:mockito-core:5.8.0
org_apache_commons_commons_lang3_3_14_0,org.apache.commons:commons-lang3:3.14.0
ch_qos_logback_logback_classic_1_4_14,ch.qos.logback:logback-classic:1.4.14
commons_io_commons_io_2_15_1,commons-io:commons-io:2.15.1
org_projectlombok_lombok_1_18_30,org.projectlombok:lombok:1.18.30
com_google_code_gson_gson_2_10_1,com.google.code.gson:gson:2.10.1
org_clojure_clojure_1_12_0_alpha5,org.clojure:clojure:1.12.0-alpha5
org_apache_logging_log4j_log4j_core_3_0_0_beta1,org.apache.logging.log4j:log4j-core:3.0.0-beta1
commons_codec_commons_codec_1_16_0,commons-codec:commons-codec:1.16.0
com_alibaba_cloud_spring_cloud_starter_alibaba_nacos_discovery_2022_0_0_0,com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-discovery:2022.0.0.0
jakarta_servlet_jakarta_servlet_api_6_1_0_M1,jakarta.servlet:jakarta.servlet-api:6.1.0-M1
org_renjin_utils_3_5_beta76,org.renjin:utils:3.5-beta76
org_apache_spark_spark_core_2_12_3_5_0,org.apache.spark:spark-core_2.12:3.5.0
io_netty_netty_all_4_1_104_Final,io.netty:netty-all:4.1.104.Final
com_netflix_hystrix_hystrix_core_1_5_18,com.netflix.hystrix:hystrix-core:1.5.18
org_keycloak_keycloak_core_23_0_3,org.keycloak:keycloak-core:23.0.3
org_apache_hadoop_hadoop_common_3_3_6,org.apache.hadoop:hadoop-common:3.3.6
io_quarkus_quarkus_bootstrap_gradle_resolver_3_6_4,io.quarkus:quarkus-bootstrap-gradle-resolver:3.6.4
io_quarkus_quarkus_bootstrap_app_model_3_6_4,io.quarkus:quarkus-bootstrap-app-model:3.6.4
org_jeecgframework_boot_jeecg_boot_starter_rabbitmq_3_6_0,org.jeecgframework.boot:jeecg-boot-starter-rabbitmq:3.6.0
org_zaproxy_zap_2_14_0,org.zaproxy:zap:2.14.0
com_liferay_portal_release_portal_api_7_4_3_107_ga107,com.liferay.portal:release.portal.api:7.4.3.107-ga107
com_xuxueli_xxl_job_core_2_4_0,com.xuxueli:xxl-job-core:2.4.0
io_seata_seata_all_2_0_0,io.seata:seata-all:2.0.0
